,state,county,inc,% change
69,AK,Anchorage Municipality,72032,2.2
70,AK,Bethel Census Area,48189,3.7
71,AK,Bristol Bay Borough,155155,1.5
72,AK,Chugach Census Area2,70362,(NA)
73,AK,Copper River Census Area2,55378,(NA)
74,AK,Denali Borough,107916,-11.3
75,AK,Dillingham Census Area,61572,1.4
76,AK,Fairbanks North Star Borough,65314,4.8
77,AK,Haines Borough,88152,-5.4
78,AK,Hoonah-Angoon Census Area,60837,-5.6
79,AK,Juneau City and Borough,75996,1.4
80,AK,Kenai Peninsula Borough,59041,2.7
81,AK,Ketchikan Gateway Borough,72278,-2.3
82,AK,Kodiak Island Borough,69546,5.6
83,AK,Kusilvak Census Area,36753,6.2
84,AK,Lake and Peninsula Borough,67539,2.2
85,AK,Matanuska-Susitna Borough,54207,3.7
86,AK,Nome Census Area,58882,3.3
87,AK,North Slope Borough,73320,-5.7
88,AK,Northwest Arctic Borough,52915,2.8
89,AK,Petersburg Borough,78295,3.3
90,AK,Prince of Wales-Hyder Census Area,53266,2.5
91,AK,Sitka City and Borough,75917,-1.4
92,AK,Skagway Municipality,71409,-23.7
93,AK,Southeast Fairbanks Census Area,58988,4.9
94,AK,Valdez-Cordova Census Area2,(NA),(NA)
95,AK,Wrangell City and Borough,61327,1.8
96,AK,Yakutat City and Borough,66375,-1.3
97,AK,Yukon-Koyukuk Census Area,63452,3.8
99,AZ,Apache,45671,14.7
100,AZ,Cochise,49096,12.9
101,AZ,Coconino,56914,9.2
102,AZ,Gila,48752,10.7
103,AZ,Graham,38785,12.4
104,AZ,Greenlee,48079,6.5
105,AZ,La Paz,49933,7.2
106,AZ,Maricopa,59759,8.1
107,AZ,Mohave,41331,8.6
108,AZ,Navajo,41680,14.1
109,AZ,Pima,52942,9
110,AZ,Pinal,43793,9.6
111,AZ,Santa Cruz,46828,13.4
112,AZ,Yavapai,49060,9
113,AZ,Yuma,44299,13.6
115,AR,Ashley,42844,5.8
116,AR,Baxter,43479,6.3
117,AR,Benton,91687,0.1
118,AR,Boone,42642,6.8
119,AR,Bradley,46734,7.7
120,AR,Calhoun,45401,9.1
121,AR,Carroll,40689,6.3
122,AR,Chicot,47402,17.6
123,AR,Clark,42664,8.3
124,AR,Clay,42999,13.9
125,AR,Cleburne,45289,7.5
126,AR,Cleveland,49569,2.8
127,AR,Columbia,42785,6.2
128,AR,Conway,46412,7
129,AR,Craighead,45160,8.3
130,AR,Crawford,40691,6.7
131,AR,Crittenden,45416,9.5
132,AR,Cross,42009,12.4
133,AR,Dallas,46261,8.9
134,AR,Desha,48464,17.3
135,AR,Drew,45391,9.5
136,AR,Faulkner,45841,6.8
137,AR,Franklin,40591,4.3
138,AR,Fulton,34900,12.4
139,AR,Garland,46897,7.1
140,AR,Grant,46161,7.1
141,AR,Greene,41633,9.6
142,AR,Hempstead,41269,6.4
143,AR,Hot Spring,37474,8.4
144,AR,Howard,42224,2.3
145,AR,Independence,42120,7.1
146,AR,Izard,34986,7
147,AR,Jackson,42871,12.4
148,AR,Jefferson,42076,10.7
149,AR,Johnson,35577,7.3
150,AR,Lafayette,47355,8
151,AR,Lawrence,40161,14.2
152,AR,Lee,37128,13.5
153,AR,Lincoln,33387,7.9
154,AR,Little River,40794,8.3
155,AR,Logan,39622,6.4
156,AR,Lonoke,46388,7.2
157,AR,Madison,40884,2.2
158,AR,Marion,36684,7.8
159,AR,Miller,40319,8
160,MS,Monroe,41783,18.8
161,MS,Montgomery,37039,8.9
162,NV,Newton,38629,8.6
163,NV,Ouachita,46428,8.6
164,NV,Perry,43793,6.7
165,NV,Phillips,45497,15.7
166,NV,Pike,40806,5.7
167,NV,Poinsett,41551,11.4
168,NV,Polk,38178,8.1
169,NV,Pope,40937,3.9
170,NV,Prairie,43835,19
171,NV,Pulaski,58583,6.5
172,NV,Randolph,39491,8.6
173,NV,St. Francis,36761,10.5
174,NV,Saline,49031,5.9
